GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestaoLojaRoupas,pdv,Application,5,3,0,0,2,1,1,1,1,1
gestaoLojaRoupas,pdv.entity,Venda,58,28,0,0,6,5,10,8,10,8
gestaoLojaRoupas,pdv.entity,Funcionario,52,7,0,0,7,2,11,2,11,2
gestaoLojaRoupas,pdv.entity,Produto,33,34,0,0,3,13,6,6,6,6
gestaoLojaRoupas,pdv.entity,Cliente,59,7,0,0,7,2,12,2,12,2
gestaoLojaRoupas,pdv.service,FuncionarioService,64,3,4,0,14,1,10,1,8,1
gestaoLojaRoupas,pdv.service,VendaService,0,130,2,8,0,31,2,15,0,12
gestaoLojaRoupas,pdv.service,ClienteService,64,3,4,0,14,1,10,1,8,1
gestaoLojaRoupas,pdv.service,ProdutoService,0,50,0,0,0,13,0,9,0,9
gestaoLojaRoupas,pdv.controller,FuncionarioController,69,82,0,0,24,20,1,9,1,9
gestaoLojaRoupas,pdv.controller,VendaController,40,127,0,0,8,33,0,9,0,9
gestaoLojaRoupas,pdv.controller,ProdutoController,69,99,0,0,24,20,1,10,1,10
gestaoLojaRoupas,pdv.controller,ClienteController,73,98,1,1,25,22,2,11,1,11
